,DATE,MODULE,AG0_acc.,AG0_y,AL0_acc.,AL0_y,AU0_acc.,AU0_y,BU0_acc.,BU0_y,C0_acc.,C0_y,CF0_acc.,CF0_y,CU0_acc.,CU0_y,EB0_acc.,EB0_y,FG0_acc.,FG0_y,FU0_acc.,FU0_y,HC0_acc.,HC0_y,I0_acc.,I0_y,JM0_acc.,JM0_y,L0_acc.,L0_y,LUM_acc.,LUM_y,M0_acc.,M0_y,MA0_acc.,MA0_y,P0_acc.,P0_y,PG0_acc.,PG0_y,PP0_acc.,PP0_y,RB0_acc.,RB0_y,RM0_acc.,RM0_y,RU0_acc.,RU0_y,SA0_acc.,SA0_y,SCM_acc.,SCM_y,SR0_acc.,SR0_y,TA0_acc.,TA0_y,UR0_acc.,UR0_y,V0_acc.,V0_y,Y0_acc.,Y0_y,ZN0_acc.,ZN0_y
0,2023-06-12,linear,0.5283019,1,0.5471698,1,0.5283019,1,0.5283019,1,0.5283019,1,0.49056605,1,0.509434,0,0.5283019,0,0.509434,1,0.509434,0,0.5283019,1,0.5283019,1,0.509434,0,0.5283019,0,0.509434,0,0.509434,1,0.5283019,1,0.5660377,0,0.5471698,0,0.5471698,0,0.509434,1,0.5471698,0,0.5283019,0,0.5283019,0,0.509434,0,0.5471698,1,0.509434,0,0.5283019,0,0.5471698,0,0.5283019,0,0.5283019,0
1,2023-06-12,CNN,0.4716981,[0],0.4528302,[0],0.49056605,[0],0.4716981,[0],0.5283019,[1],0.509434,[1],0.509434,[0],0.5283019,[0],0.5660378,[1],0.509434,[0],0.5283019,[1],0.5283019,[1],0.509434,[0],0.5283019,[0],0.509434,[0],0.49056605,[0],0.509434,[1],0.5660378,[0],0.4716981,[1],0.5471698,[0],0.509434,[1],0.5471698,[0],0.5471698,[0],0.5283019,[0],0.5849057,[1],0.4528302,[0],0.509434,[0],0.5283019,[0],0.5471698,[0],0.5283019,[0],0.5283019,[0]
2,2023-06-12,RNN,0.4339622641509434,1,0.6415094339622641,0,0.660377358490566,1,0.4528301886792453,0,0.5660377358490566,0,0.3584905660377358,1,0.5471698113207547,0,0.5660377358490566,0,0.5471698113207547,0,0.49056603773584906,0,0.4339622641509434,1,0.4339622641509434,1,0.49056603773584906,0,0.4528301886792453,0,0.6037735849056604,0,0.5660377358490566,1,0.660377358490566,1,0.5283018867924528,0,0.39622641509433965,1,0.5283018867924528,0,0.49056603773584906,1,0.5849056603773585,0,0.41509433962264153,1,0.5849056603773585,1,0.5849056603773585,0,0.5094339622641509,1,0.5660377358490566,0,0.4339622641509434,1,0.5283018867924528,1,0.49056603773584906,1,0.5849056603773585,0
